precipitacao_anual,temp_media,fertilizante_kg_ha,horas_sol_dia,ph_solo,altitude_metros,umidade_relativa,toneladas_por_hectare
1186.5,30.3,463.51,8.5,5.4,1458,51.3,14.91
575.64,33.5,184.35,6.1,6.3,554,66.6,5.02
1477.73,18.3,105.33,5.8,4.6,1115,85.4,10.7
1994.45,25.4,267.44,5.3,6.1,602,68.0,12.97
1194.77,21.7,444.02,7.3,4.8,486,60.7,13.28
1058.21,28.3,235.95,11.6,5.9,667,86.7,10.18
1492.81,29.2,227.16,5.7,5.6,685,51.1,10.26
1510.44,33.1,229.5,9.3,7.3,350,87.0,11.68
1396.36,31.9,279.03,5.5,6.6,306,63.0,10.92
1381.26,21.2,400.82,10.1,7.1,747,56.6,15.42
645.23,22.1,347.16,10.4,7.4,302,82.7,9.93
1996.1,25.0,185.1,10.0,7.0,479,70.7,15.06
1455.85,34.3,236.49,5.0,5.2,290,67.5,10.08
852.86,19.2,296.23,8.6,6.1,579,52.9,9.27
1866.53,24.8,390.63,8.1,6.6,602,76.2,17.75
752.31,33.0,465.86,7.8,6.2,1121,72.7,12.96
1011.91,28.8,341.33,10.9,4.8,529,41.3,12.31
1301.06,33.9,244.01,5.6,6.6,361,71.6,10.1
1053.28,26.8,491.78,6.1,5.7,295,84.2,14.96
1257.44,33.8,163.98,11.8,4.6,213,87.0,8.8
1202.26,21.4,450.9,11.3,5.9,242,81.2,15.88
901.2,18.6,251.18,11.5,5.5,884,74.9,13.16
1558.94,31.0,478.94,11.8,5.7,1175,60.4,16.5
660.64,27.9,168.84,7.0,5.2,682,61.7,6.25
749.36,26.5,253.39,8.0,6.4,529,58.1,7.05
1729.13,30.6,126.07,6.3,7.0,692,84.9,10.8
1627.13,28.5,460.05,5.1,6.4,302,79.8,17.1
918.86,25.1,152.1,8.6,5.1,603,82.3,8.91
1783.53,22.8,333.57,6.1,4.5,1150,77.9,15.11
1610.27,19.4,188.84,6.6,4.7,278,64.5,11.99
1873.29,25.1,481.07,6.5,6.6,383,44.2,17.94
925.31,26.1,367.78,8.5,6.0,296,77.6,12.13
752.01,23.9,282.51,6.2,6.8,423,57.6,9.76
848.67,27.6,112.0,12.0,5.4,914,64.9,5.76
1732.37,30.5,145.28,8.0,7.3,827,45.1,12.16
1778.98,31.8,355.45,10.5,6.0,529,76.7,15.82
640.24,29.3,283.57,11.9,6.6,1100,75.5,8.82
1396.3,32.4,396.24,5.9,6.9,1017,87.3,14.23
1946.07,25.5,354.09,11.0,6.5,1477,73.2,17.67
1574.02,33.9,117.53,11.6,6.0,1393,55.1,10.62
587.65,27.7,112.99,10.9,5.0,547,66.5,6.97
1400.94,21.8,211.03,5.3,5.8,1344,66.3,9.05
1961.71,35.0,327.44,8.9,6.2,1463,43.9,14.38
1887.8,27.1,173.79,11.5,7.0,348,60.3,12.35
1418.85,19.8,289.0,11.2,5.5,550,61.4,14.98
1835.9,20.3,391.9,10.1,7.1,1284,77.6,17.84
803.9,30.1,265.32,10.8,6.6,776,49.3,10.06
1898.19,23.7,140.85,6.8,7.3,274,71.2,11.98
955.59,24.6,285.74,8.6,5.1,1016,89.0,11.7
1898.41,30.4,365.62,5.2,6.1,268,41.2,15.7
1149.71,33.5,488.86,8.3,4.6,1013,70.7,13.44
985.73,29.9,469.66,5.2,7.3,408,70.1,11.55
1463.06,31.9,412.26,9.4,6.5,1197,79.1,16.27
1457.28,34.6,408.72,11.5,5.8,1016,41.6,14.79
1494.43,21.9,360.37,8.8,5.1,1007,51.3,15.8
1395.23,27.0,224.78,9.6,5.3,328,81.9,11.21
1203.4,29.6,201.69,5.6,6.0,927,50.9,8.01
1877.33,18.8,345.86,10.3,5.5,1420,69.9,17.83
1534.44,34.4,248.91,11.4,6.2,499,82.5,13.37
1137.94,29.1,292.62,7.4,6.9,293,84.0,11.39
1557.93,32.8,346.8,6.5,6.1,745,48.0,13.57
1920.23,18.9,132.64,10.2,6.0,1043,84.1,14.19
584.11,29.1,199.78,9.7,7.2,679,68.6,7.02
1098.7,27.5,147.73,9.1,6.4,749,55.9,9.24
732.32,34.1,184.69,9.2,4.9,1177,63.7,6.98
1901.81,27.6,465.8,8.3,5.0,1315,83.0,18.88
1543.91,20.1,376.74,11.8,5.2,1477,65.1,18.15
1545.34,27.7,257.23,9.8,4.9,1266,47.5,12.95
1372.97,20.3,450.8,11.9,5.1,774,73.9,16.5
603.39,29.5,183.03,6.0,5.1,1390,63.7,5.58
1920.19,31.1,370.94,5.4,5.5,237,47.9,13.63
1830.52,24.1,411.53,5.1,5.5,841,52.4,18.17
1776.04,24.4,248.82,6.0,7.4,361,81.0,13.94
872.02,26.2,234.29,10.9,6.6,425,43.2,9.12
1008.7,24.6,242.29,9.4,6.3,1348,61.3,11.64
1199.54,22.8,258.58,7.2,6.5,563,86.4,13.97
1979.19,26.4,151.92,5.7,6.5,1279,54.0,11.34
779.61,23.2,284.62,11.8,6.6,968,52.0,10.28
1226.12,25.3,474.15,11.8,7.1,1194,81.3,17.3
1669.1,31.3,346.67,10.8,6.0,1268,74.5,13.47
1680.35,23.8,379.95,6.9,4.5,314,71.0,17.62
1365.06,30.9,246.22,11.8,5.6,1036,85.1,11.75
1238.04,26.9,499.81,9.2,5.2,855,85.3,16.08
1515.86,22.5,413.67,11.0,6.3,1367,46.2,17.07
942.51,32.5,321.24,11.8,6.6,522,48.4,11.14
773.13,28.4,259.45,11.6,7.1,1336,44.0,8.86
928.47,29.8,294.1,10.9,7.0,661,76.2,10.78
1520.2,25.7,294.04,8.3,4.6,937,89.5,14.23
944.33,22.7,482.88,7.2,4.6,1395,53.7,13.66
847.89,24.4,488.56,7.5,6.8,548,68.0,13.84
745.0,19.5,426.22,9.7,5.3,1341,61.6,12.27
1752.65,32.3,456.58,11.0,6.2,329,68.6,17.9
780.72,28.1,474.73,6.5,7.3,1434,74.4,12.36
1399.23,20.4,456.94,9.9,6.0,347,68.4,16.98
1740.39,32.0,111.73,10.4,4.9,340,51.7,10.76
1473.82,24.4,327.57,7.7,6.2,1013,53.9,13.66
1457.45,33.0,336.75,8.2,6.7,1476,81.7,12.39
1736.4,24.1,135.03,8.3,6.8,341,86.9,9.76
749.62,33.7,361.16,7.4,7.0,1068,64.0,10.15
1973.13,22.0,311.68,11.5,5.5,476,51.6,16.69
678.2,18.0,379.62,6.1,7.4,1139,76.9,10.8
1580.97,26.9,294.15,10.5,5.6,561,66.0,12.02
1638.9,32.2,359.58,11.5,5.3,1292,58.8,15.71
1627.28,21.7,400.69,5.2,7.0,386,74.9,14.58
1291.84,24.4,229.88,5.6,7.3,384,80.0,11.67
1898.31,20.1,386.47,9.8,7.2,868,70.9,18.63
669.39,19.9,120.48,6.3,6.5,463,66.0,7.36
767.87,21.8,301.35,9.8,7.2,218,71.6,9.43
686.12,18.1,391.07,9.7,5.8,1048,77.2,11.71
1126.51,18.8,387.61,5.8,6.8,562,43.0,13.56
1951.95,28.5,121.36,9.4,7.4,227,50.9,13.25
1590.26,28.5,232.48,5.1,7.0,832,81.0,10.87
987.62,30.9,129.1,10.3,4.7,324,84.4,7.83
1790.19,20.3,470.08,11.7,5.5,668,83.9,19.18
718.32,31.8,397.22,8.5,7.0,880,73.3,10.14
1805.94,21.3,393.21,11.0,5.5,711,54.0,16.76
1317.57,29.7,492.32,7.9,6.1,1278,85.6,17.46
1014.22,34.5,466.78,10.2,5.8,1159,70.5,13.14
1527.51,31.3,435.13,11.8,7.5,1222,48.3,15.86
1965.3,25.4,240.93,11.2,4.9,423,66.1,14.82
738.25,24.7,297.27,8.9,5.3,1336,77.6,9.14
944.8,29.2,120.19,5.9,4.6,785,62.0,6.33
1821.65,26.6,403.76,7.5,6.2,946,65.9,15.34
1808.83,32.3,307.63,5.4,4.5,1014,58.0,12.47
1537.12,33.2,300.37,9.1,5.3,613,78.6,11.5
1954.55,27.4,499.39,5.3,5.0,727,53.9,18.5
726.24,32.7,310.32,5.8,5.8,1109,87.9,7.75
776.37,20.8,487.82,11.9,7.4,512,86.5,13.29
920.82,20.7,141.0,10.8,7.3,338,43.4,7.29
657.27,18.3,440.14,9.6,5.2,861,47.4,12.98
1693.96,24.8,136.75,5.7,6.3,525,46.4,11.17
1987.52,24.5,446.9,8.1,6.3,1283,82.6,19.36
650.67,28.2,332.23,5.3,5.8,982,79.9,9.29
505.0,24.5,136.82,8.8,6.8,978,50.3,5.82
871.0,32.1,164.84,8.1,6.3,1263,71.8,6.13
1987.64,20.7,296.95,10.3,4.9,1122,41.7,16.59
1478.34,34.1,400.06,5.0,5.5,328,55.3,13.85
1779.43,24.0,275.43,7.8,6.5,204,88.9,13.49
814.14,21.8,446.49,11.7,6.1,606,56.6,14.51
665.99,31.9,406.43,11.7,5.8,919,52.1,13.51
537.03,26.0,226.1,8.8,5.7,352,80.0,6.5
1932.75,30.4,491.41,8.4,5.8,1473,62.3,20.15
1224.69,24.7,323.55,9.4,5.7,1462,53.5,11.84
599.23,30.8,313.1,9.3,7.1,616,61.6,9.55
799.43,24.7,362.67,10.1,5.8,424,87.8,10.14
821.56,28.7,342.82,8.9,5.9,836,53.5,9.32
539.45,26.2,236.99,6.3,7.3,1429,76.9,7.39
899.23,24.5,238.45,11.4,6.2,355,72.3,11.86
1736.52,33.3,196.41,9.2,4.6,817,71.1,12.65
543.09,33.1,230.05,7.2,6.0,543,41.6,6.69
781.56,33.7,421.17,5.3,5.5,284,52.9,11.73
558.01,26.9,113.98,7.0,4.9,402,68.4,5.48
1850.48,30.4,339.7,9.7,7.4,1376,58.4,16.01
1759.27,25.0,279.07,5.2,5.4,654,42.1,13.86
786.43,20.7,406.8,5.4,5.2,1008,89.9,11.86
1696.84,24.1,193.65,11.4,7.0,437,70.9,13.89
1802.56,23.8,383.61,9.3,6.7,1456,83.9,17.61
1401.37,28.2,439.91,11.3,5.3,1130,48.0,15.5
1395.41,32.9,489.71,9.6,7.2,458,86.8,16.43
1295.25,34.6,352.08,11.9,7.1,422,41.0,12.91
831.94,21.6,377.62,8.4,5.2,784,89.6,10.84
632.85,30.1,103.59,6.6,5.0,1170,56.7,5.63
1171.68,20.7,171.78,6.7,5.8,1276,89.9,8.55
1129.65,21.3,304.65,7.6,5.6,1123,75.2,13.08
1164.6,34.3,473.53,6.3,6.9,825,70.0,14.38
612.7,19.0,418.27,8.0,7.4,1163,77.8,12.55
920.23,20.5,316.06,10.9,6.8,1074,66.6,12.79
806.37,28.9,150.35,6.7,5.7,1186,78.0,5.0
1823.37,19.7,327.68,8.4,5.7,497,68.5,18.2
1621.85,33.0,139.47,7.1,7.0,1240,78.7,10.66
1507.62,28.5,316.57,9.8,5.8,1375,72.9,14.62
858.89,26.8,174.14,6.7,6.4,672,45.4,6.68
747.97,25.0,474.56,5.7,6.8,1395,86.1,13.39
1042.66,28.7,190.67,9.9,6.1,1369,75.0,8.4
1598.52,28.8,321.36,5.3,5.0,644,87.5,13.98
1341.43,26.6,449.63,10.9,5.5,1201,83.9,16.51
1325.92,33.6,355.39,11.4,6.5,649,66.0,12.56
1580.13,23.3,378.25,8.6,4.8,539,66.7,16.85
599.13,26.3,402.06,8.7,5.3,401,41.1,10.5
781.43,23.7,450.71,7.6,7.1,893,78.2,12.66
1424.01,20.0,319.61,8.7,4.8,863,63.1,13.31
1188.9,24.7,428.73,10.3,6.1,1209,76.4,13.45
1311.33,25.1,376.97,7.7,6.3,497,76.6,13.37
519.04,23.0,213.18,5.7,6.5,1182,41.8,5.38
1230.24,24.9,174.03,8.0,6.2,991,66.5,8.61
1266.34,22.1,459.31,11.5,6.8,1419,62.3,12.03
1515.83,26.1,479.37,10.8,7.2,712,88.4,18.33
1408.04,19.6,138.58,5.6,6.0,409,43.6,9.76
855.76,29.0,150.54,6.3,6.7,209,44.1,5.89
1704.38,24.6,118.16,9.7,6.4,1172,44.2,10.48
1368.17,20.0,383.79,11.8,5.5,415,51.0,16.79
1393.79,29.5,343.74,6.6,6.8,406,44.1,12.0
1010.08,19.2,193.94,10.7,5.8,811,59.8,9.2
1004.38,21.1,366.44,8.7,6.1,1075,66.5,11.08
1686.13,20.2,344.78,10.9,5.7,1002,64.3,17.99
607.18,21.1,128.51,10.5,5.0,989,84.3,6.19
1953.32,22.5,446.55,5.2,7.0,1474,78.9,18.84
932.46,20.2,343.26,10.8,7.2,1047,41.8,13.12
792.0,31.2,269.93,5.8,5.5,1341,79.4,6.6
1531.97,19.6,469.64,11.6,7.4,1158,86.3,18.69
1621.89,34.5,445.27,5.7,5.7,245,80.4,15.45
1768.54,26.2,218.22,5.2,7.3,820,56.8,13.16
989.02,24.3,266.44,6.1,5.4,979,70.1,9.52
1146.63,32.8,342.22,9.2,7.4,1405,56.4,12.15
1718.21,23.7,454.51,8.3,7.1,591,67.7,17.36
1094.59,27.4,264.33,6.1,7.5,1485,84.2,9.98
1729.41,27.0,259.18,10.8,7.0,455,41.0,14.44
1397.34,31.9,210.13,8.5,5.4,622,58.6,10.25
1999.75,22.4,260.54,6.4,6.3,454,81.0,15.99
743.6,33.5,212.17,5.5,7.3,409,49.8,5.58
1807.12,20.3,101.45,8.2,5.3,504,61.6,14.08
1008.39,23.5,347.72,8.0,4.6,616,86.4,12.15
565.77,27.7,298.17,6.8,5.3,1463,62.8,6.54
997.08,25.8,283.13,10.4,6.6,845,77.6,10.34
1287.8,25.8,328.05,8.7,5.8,771,42.2,13.52
1117.8,19.0,243.8,11.7,5.6,1251,67.3,12.23
1190.59,27.2,487.94,7.9,4.8,404,54.9,15.22
1655.38,24.8,494.31,8.1,6.9,1350,78.3,17.72
1454.1,31.6,491.38,8.7,5.3,771,69.8,17.59
1115.11,28.4,269.53,7.3,6.6,789,42.0,10.01
1350.37,30.8,256.73,7.1,6.1,622,76.7,10.34
722.74,26.0,219.47,7.4,7.0,597,64.5,8.27
1273.52,27.0,243.36,9.6,4.9,1309,80.6,9.93
823.6,24.0,210.72,8.9,5.2,973,51.5,8.08
1884.62,32.6,363.73,7.6,5.4,754,83.7,15.66
534.83,33.0,408.63,6.7,7.4,1024,66.5,8.67
1870.57,30.2,253.28,6.1,5.7,269,55.6,15.31
1079.17,21.6,326.78,6.8,6.6,1245,59.4,11.8
847.36,23.5,118.24,7.2,6.8,775,47.5,5.12
1395.68,27.9,100.35,11.7,7.3,460,86.1,9.52
1157.3,30.8,299.27,6.4,6.7,1187,64.1,10.31
1937.89,29.4,166.35,11.1,5.6,1260,63.3,12.71
643.92,28.7,342.45,9.3,4.7,358,73.7,10.61
1061.75,26.7,271.63,7.5,6.8,647,71.0,10.95
969.49,27.7,334.19,11.9,5.8,463,60.8,12.29
1431.16,28.9,217.51,10.0,6.5,1431,85.5,12.09
528.93,19.6,483.64,5.3,5.6,750,82.5,14.16
727.26,24.6,143.52,6.5,6.8,353,53.6,6.19
1257.47,31.8,401.7,5.3,5.0,928,76.4,12.46
1796.31,32.9,123.68,5.2,4.8,1081,46.1,9.85
1730.3,34.1,127.78,6.4,6.9,223,49.5,10.27
1077.74,24.0,402.62,7.5,5.8,1040,67.5,14.09
1885.69,25.6,435.04,9.1,5.6,797,63.5,19.43
951.79,19.1,124.58,10.8,5.6,1417,78.2,9.11
1443.74,33.2,396.51,9.1,6.2,217,65.1,15.9
1615.44,33.4,199.59,10.5,6.3,211,43.0,12.72
503.7,20.8,265.06,5.2,6.5,1352,42.0,8.87
1474.47,21.3,215.73,9.9,6.8,898,50.5,10.54
1596.03,19.1,390.37,5.6,5.6,997,42.7,15.04
1821.64,24.3,255.44,6.3,4.8,850,85.7,13.83
1644.51,34.6,227.87,6.6,5.5,1473,44.5,10.4
553.79,18.9,152.48,8.9,6.2,351,57.5,6.49
1799.93,33.7,364.28,8.1,6.3,360,70.8,15.22
1576.99,32.9,297.79,10.6,7.1,1380,47.7,15.43
1624.96,23.2,409.16,7.4,7.0,608,42.6,15.34
1553.3,34.2,368.63,8.8,6.0,742,45.4,13.85
959.57,27.7,140.4,7.2,4.6,1283,48.6,7.19
1771.92,26.7,471.23,6.7,6.1,975,75.8,16.48
1346.09,27.1,388.11,8.1,7.1,582,49.9,15.08
725.58,31.0,105.98,6.6,4.8,1174,84.9,4.32
1458.69,33.6,150.74,10.4,5.9,768,57.9,10.29
638.14,29.5,269.07,11.4,6.9,411,83.2,7.23
752.18,19.0,378.15,11.2,6.0,1138,84.6,12.62
1440.65,27.2,497.16,7.7,7.3,452,52.8,16.06
755.48,19.8,382.67,5.9,7.2,796,69.6,12.16
991.34,28.1,490.71,6.9,7.4,288,49.1,12.71
1437.29,23.9,410.25,5.8,6.5,1435,81.8,15.04
1773.5,25.4,109.25,5.7,5.0,463,85.4,10.9
1076.2,29.6,200.1,11.0,4.7,791,82.6,9.97
673.06,23.1,349.52,7.5,4.5,423,71.9,10.45
580.55,23.3,493.71,11.5,6.2,1084,70.0,14.44
1571.81,31.6,182.02,9.6,7.1,419,68.7,11.36
1183.08,31.4,376.56,7.6,7.2,1395,54.3,12.39
1657.23,24.5,282.38,7.8,5.9,361,73.9,13.17
1473.53,27.4,291.26,9.8,7.5,1255,69.7,12.52
1521.92,25.7,255.65,8.6,6.5,1039,52.6,14.27
1147.71,31.5,327.45,7.9,7.1,550,55.3,10.66
1536.31,28.7,468.8,8.9,5.3,1274,44.9,18.76
1802.68,27.7,436.39,5.3,5.9,609,72.2,16.72
1482.42,32.8,442.22,10.2,5.9,595,78.3,17.98
1828.4,22.2,425.24,7.7,6.6,216,66.4,18.29
1234.13,32.6,122.78,10.1,6.5,510,76.7,8.52
1702.77,19.0,319.32,6.2,7.4,1431,56.6,15.81
541.81,21.7,290.08,10.2,4.5,254,68.3,10.93
1941.77,20.0,390.77,9.2,4.6,383,79.7,19.94
855.82,20.0,101.67,5.5,6.8,812,83.6,5.71
624.76,20.2,499.56,7.7,6.0,1419,80.8,15.66
504.57,25.9,299.2,10.6,6.1,1114,88.6,8.26
1491.14,30.9,217.04,11.5,5.4,625,44.9,13.93
1550.55,30.1,186.72,10.7,4.9,1250,55.1,12.22
1917.66,31.4,441.54,7.6,4.7,336,55.0,17.6
1379.9,27.9,364.51,9.3,5.2,786,67.1,13.5
1049.03,27.4,398.24,9.1,4.8,590,74.2,13.99
993.21,31.2,488.27,8.6,6.2,896,61.0,15.89
722.56,29.6,375.86,5.1,5.0,765,83.1,10.44
1830.55,27.6,207.51,9.3,5.1,592,51.9,14.47
1033.67,29.8,323.22,11.7,6.5,514,56.9,10.48
581.2,29.3,126.85,5.7,7.2,755,65.1,5.46
755.09,24.7,434.45,5.3,4.6,812,89.5,11.47
1160.18,30.7,356.28,5.5,4.6,1336,73.6,9.94
1112.42,27.2,390.34,10.5,4.6,1015,63.7,14.71
1301.06,26.8,338.75,9.4,6.1,1340,83.0,14.81
1341.53,26.0,420.4,9.4,7.3,1106,79.0,15.34
1207.29,27.4,487.66,8.0,4.5,598,76.6,16.3
1584.12,34.0,225.56,11.3,6.1,953,65.2,11.36
1186.15,29.8,465.78,7.1,6.1,856,41.0,13.08
1740.83,29.3,262.26,5.4,6.0,1446,80.6,11.96
932.93,30.6,346.81,11.3,5.8,1261,65.6,10.63
1178.45,30.4,454.41,11.3,6.5,1462,68.8,17.0
524.22,22.4,140.55,10.0,7.3,228,73.3,6.01
1108.49,23.5,314.32,8.8,4.6,1457,56.3,11.23
1178.91,30.7,368.37,6.7,6.1,712,49.4,10.93
1082.36,18.8,209.45,10.0,5.8,1198,43.6,10.45
725.47,22.0,166.89,7.4,5.1,837,41.1,6.37
1127.59,33.9,395.74,5.7,6.5,1305,88.3,9.97
1029.63,28.1,195.53,6.2,4.8,811,80.5,7.43
1839.62,24.5,280.04,12.0,5.3,1332,56.0,17.08
1733.7,19.8,127.7,5.2,5.7,1491,79.0,11.57
1384.69,22.4,275.87,11.7,7.5,281,53.9,15.03
809.32,23.1,361.87,9.4,7.4,888,85.8,12.92
1383.19,34.6,350.87,10.1,5.2,206,79.6,13.83
575.1,33.6,432.35,5.2,7.0,364,56.9,8.6
1867.76,27.4,279.27,11.4,7.2,211,88.0,16.2
880.69,26.9,292.6,7.5,6.6,520,76.6,9.82
1736.2,20.4,283.24,10.8,7.3,1308,73.4,15.84
1207.85,24.9,211.51,8.1,6.0,903,54.5,12.43
867.81,30.5,131.46,6.4,5.1,1068,63.4,6.67
1134.37,19.3,263.02,10.4,6.3,1275,48.9,14.16
1997.22,20.9,392.43,9.4,5.1,355,81.3,17.91
1694.92,27.2,472.46,10.8,4.6,349,53.0,17.6
1754.66,28.1,329.46,9.9,5.8,267,56.1,15.66
1263.2,32.8,277.03,6.5,4.5,933,69.0,11.33
854.42,22.5,296.65,5.9,6.0,696,84.5,10.01
979.19,34.9,107.61,5.3,7.1,1167,51.4,5.58
1689.95,27.3,496.59,9.3,5.2,939,47.2,20.43
1934.82,24.2,259.0,10.7,5.3,1405,55.7,16.06
1549.74,18.5,308.31,11.0,7.5,491,82.6,14.81
1771.18,19.3,340.03,5.5,7.2,723,78.2,15.28
1345.28,28.7,291.39,6.4,6.4,336,48.3,13.12
753.35,32.2,497.49,6.2,6.1,1147,79.1,12.57
1320.9,24.8,194.18,11.9,6.8,244,43.7,11.63
1396.9,28.9,471.04,9.7,6.5,1013,56.4,14.87
701.11,26.4,114.61,7.7,5.1,948,82.6,6.64
1255.94,24.0,388.48,10.1,6.2,378,69.1,14.89
965.61,33.1,181.34,7.0,6.7,1349,62.5,9.45
1848.51,18.9,194.89,10.0,6.1,720,67.4,15.19
1892.75,25.1,201.5,5.0,5.0,342,65.6,14.43
1926.28,26.0,421.66,9.1,5.2,488,49.5,17.24
1410.34,34.6,340.45,5.4,4.9,662,43.8,11.81
1682.8,33.2,200.97,7.1,5.0,399,45.2,10.77
1899.02,25.9,127.75,8.4,7.1,1326,45.7,13.62
1456.29,23.1,299.17,11.2,4.9,757,87.0,15.0
557.49,19.6,290.34,6.1,5.9,263,83.1,8.54
830.39,21.7,333.13,6.2,5.5,1209,50.1,10.38
855.94,18.9,221.31,9.1,6.8,677,45.6,10.66
990.3,25.8,418.41,8.7,4.5,579,89.3,12.36
1729.35,18.9,286.37,8.1,5.4,1119,87.2,13.89
1740.25,30.4,438.33,7.4,5.1,1388,71.4,16.06
1409.44,19.0,129.7,8.1,4.7,1083,48.9,9.38
521.07,30.5,286.07,8.6,6.2,383,64.4,7.83
1697.85,29.5,245.57,8.9,7.2,1280,51.3,11.56
1388.87,23.6,308.96,5.9,7.3,379,58.2,11.99
1406.3,29.7,349.73,7.3,4.9,949,85.5,14.42
570.99,26.1,210.61,7.7,5.3,1276,52.2,9.0
1886.25,34.3,208.39,8.7,6.5,862,55.6,11.6
1959.7,20.7,482.54,7.4,5.8,318,85.4,20.29
609.95,26.4,156.12,6.4,4.7,376,59.4,6.21
884.29,25.2,383.43,10.9,5.5,1455,66.2,11.98
1106.85,28.3,315.2,9.0,4.7,1054,42.5,11.61
1715.46,33.2,399.16,10.9,7.2,349,58.8,17.14
1928.33,22.5,184.4,10.7,7.0,1197,74.6,14.02
650.96,19.1,133.04,12.0,6.0,991,79.3,7.51
885.77,27.4,150.38,10.1,4.8,839,80.9,8.52
522.05,29.8,280.25,7.3,4.9,347,51.6,6.13
1123.25,28.3,487.56,6.0,5.0,982,57.6,14.77
924.87,29.7,222.05,9.0,6.7,1097,67.3,7.91
1231.18,19.1,340.06,10.3,4.9,273,80.1,15.7
1532.79,26.2,148.34,10.8,5.0,1099,89.8,12.11
1302.52,22.4,285.41,6.3,6.6,301,78.1,12.88
503.37,28.5,306.81,9.6,5.4,1266,58.6,8.14
549.13,34.2,302.52,5.5,6.9,208,51.1,7.87
1346.79,23.6,388.73,9.6,6.0,814,57.4,13.7
1527.77,22.5,205.74,8.2,4.8,218,44.1,11.35
849.09,19.2,184.33,8.3,6.9,709,65.5,8.14
1648.8,22.4,265.26,6.2,5.8,676,83.0,13.37
1441.83,32.4,469.55,10.5,5.5,1465,41.6,16.06
1213.29,31.9,339.44,8.8,5.4,266,70.4,11.71
1698.54,20.1,447.86,7.6,5.2,1200,85.6,19.3
1371.18,25.4,205.5,6.6,4.8,901,44.2,11.37
1914.01,30.5,361.01,11.1,7.0,412,64.1,18.46
1396.67,30.6,102.77,8.6,5.5,506,44.7,10.65
857.74,34.4,480.39,8.4,5.2,990,75.2,10.89
600.98,28.2,265.16,9.0,5.1,442,65.8,7.98
